Date,Open,High,Low,Close,Adj Close,Volume,Close_NIFTY,Close_NIFTYBANK
2022-06-02,12575.0,13030.0,12450.0,12961.400391,12960.933594,12565,16628.0,35613.648438
2022-06-03,13177.599609,13220.200195,12656.25,12691.049805,12690.592773,9440,16584.300781,35275.050781
2022-06-06,12750.0,12750.0,12280.049805,12520.549805,12520.098633,8693,16569.550781,35310.199219
2022-06-07,12516.0,12516.0,12235.0,12336.349609,12335.905273,6746,16416.349609,34996.0
2022-06-08,12440.0,12636.650391,12250.0,12464.0,12463.551758,6890,16356.25,34946.148438
2022-06-09,12400.0,12518.75,12252.25,12474.299805,12473.850586,4496,16478.099609,35085.449219
2022-06-10,12320.0,12379.150391,12180.0,12250.650391,12250.208984,8146,16201.799805,34483.800781
2022-06-13,12050.0,12050.0,11351.0,11390.900391,11390.490234,18767,15774.400391,33405.851563
2022-06-14,11326.0,11583.0,11271.049805,11334.799805,11334.391602,19568,15732.099609,33311.351563
2022-06-15,11490.0,11871.0,11411.200195,11813.849609,11813.423828,20105,15692.150391,33339.0
2022-06-16,12049.950195,12066.75,11406.0,11474.5,11474.086914,27995,15360.599609,32617.099609
2022-06-17,11340.0,11860.0,11285.0,11758.400391,11757.977539,28805,15293.5,32743.050781
2022-06-20,11803.0,11850.049805,11530.0,11713.200195,11712.77832,12910,15350.150391,32684.800781
2022-06-21,11740.049805,11928.599609,11676.650391,11735.099609,11734.676758,12048,15638.799805,33191.75
2022-06-22,11735.0,11737.0,11347.5,11435.0,11434.587891,14220,15413.299805,32845.300781
2022-06-23,11496.0,11598.549805,11312.549805,11560.200195,11559.78418,13052,15556.650391,33135.0
2022-06-24,11694.900391,11694.900391,11430.049805,11581.200195,11580.783203,17670,15699.25,33627.449219
2022-06-27,11700.0,11779.700195,11570.0,11594.799805,11594.382813,9218,15832.049805,33811.25
2022-06-28,11530.0,11530.0,11294.099609,11363.200195,11362.791016,10476,15850.200195,33642.449219
2022-06-29,11200.0,11303.0,11043.950195,11114.450195,11114.049805,11509,15799.099609,33269.898438
2022-06-30,11150.0,11189.200195,10908.0,10929.299805,10929.299805,15912,15780.25,33425.101563
2022-07-01,10930.0,11344.950195,10777.0,11326.349609,11326.349609,15981,15752.049805,33539.449219
2022-07-04,11349.0,11439.799805,11220.0,11381.75,11381.75,11687,15835.349609,33940.898438
2022-07-05,11539.950195,11750.0,11407.0,11519.150391,11519.150391,10779,15810.849609,33815.898438
2022-07-06,11590.0,12075.0,11562.75,12042.549805,12042.549805,16903,15989.799805,34324.25
2022-07-07,12100.0,12200.0,11846.349609,11965.799805,11965.799805,14965,16132.900391,34920.300781
2022-07-08,12100.0,12105.299805,11877.0,12004.799805,12004.799805,4477,16220.599609,35124.050781
2022-07-11,11990.0,12040.049805,11853.599609,11932.650391,11932.650391,8962,16216.0,35469.648438
2022-07-12,11900.0,11980.0,11741.0,11860.0,11860.0,4908,16058.299805,35132.25
2022-07-13,11945.299805,12119.200195,11720.0,11769.049805,11769.049805,5857,15966.650391,34827.800781
2022-07-14,11935.0,11957.25,11637.349609,11730.849609,11730.849609,10741,15938.650391,34651.199219
2022-07-15,11796.0,11852.450195,11680.0,11838.900391,11838.900391,8739,16049.200195,34682.648438
2022-07-18,11899.0,12280.0,11899.0,12246.650391,12246.650391,64025,16278.5,35358.699219
2022-07-19,12200.0,12468.200195,12107.650391,12445.299805,12445.299805,10416,16340.549805,35720.351563
2022-07-20,12650.0,12650.0,12376.549805,12417.299805,12417.299805,13105,16520.849609,35972.101563
2022-07-21,12400.0,12756.0,12390.0,12718.25,12718.25,7363,16605.25,36201.0
2022-07-22,12914.200195,12914.200195,12664.150391,12741.049805,12741.049805,11457,16719.449219,36738.949219
2022-07-25,12798.0,12798.0,12570.049805,12610.650391,12610.650391,6301,16631.0,36726.398438
2022-07-26,13051.0,13547.099609,12797.599609,13314.75,13314.75,50032,16483.849609,36408.5
2022-07-27,13370.0,13382.5,13023.299805,13303.150391,13303.150391,26653,16641.800781,36783.75
2022-07-28,13500.0,14777.849609,13500.0,14652.299805,14652.299805,50996,16929.599609,37378.148438
