Date,Open,High,Low,Close,Adj Close,Volume
2021-05-05,16585.000000,16602.000000,16457.800781,16550.199219,16217.036133,792
2021-05-06,16588.000000,16767.000000,16561.199219,16727.000000,16390.277344,3968
2021-05-07,16780.000000,16795.000000,16660.099609,16753.550781,16416.294922,2470
2021-05-10,16767.000000,16844.400391,16673.599609,16763.599609,16426.140625,1989
2021-05-11,16760.000000,16945.550781,16707.000000,16870.949219,16531.328125,1340
2021-05-12,16939.949219,16939.949219,16621.000000,16713.750000,16377.294922,2318
2021-05-14,16750.000000,17250.000000,16714.000000,17217.550781,16870.953125,3356
2021-05-17,17250.000000,17281.099609,17004.050781,17037.000000,16694.037109,1725
2021-05-18,17035.000000,17248.599609,17035.000000,17173.849609,16828.132813,1630
2021-05-19,17200.000000,17467.750000,17200.000000,17444.250000,17093.089844,2757
2021-05-20,17480.000000,17500.000000,17217.750000,17277.099609,16929.304688,2147
2021-05-21,17350.000000,17550.000000,17279.250000,17491.949219,17139.828125,1872
2021-05-24,17450.000000,17577.599609,17310.250000,17375.750000,17025.966797,2585
2021-05-25,17510.000000,17750.000000,17450.000000,17529.000000,17176.134766,4951
2021-05-26,17525.000000,17590.449219,17370.050781,17526.800781,17173.976563,2091
2021-05-27,17530.000000,17894.000000,17431.199219,17772.550781,17414.783203,1471
2021-05-28,17620.000000,17829.199219,17475.949219,17507.599609,17155.162109,2812
2021-05-31,17510.000000,17740.949219,17421.000000,17692.699219,17336.539063,1861
2021-06-01,17600.000000,17800.000000,17500.000000,17765.500000,17407.873047,1969
2021-06-02,17633.650391,17808.000000,17520.000000,17645.849609,17290.632813,3155
2021-06-03,17670.000000,17850.000000,17557.449219,17795.699219,17437.462891,1304
2021-06-04,17640.000000,17683.750000,17387.199219,17445.150391,17093.970703,9003
2021-06-07,17450.050781,17588.050781,17350.150391,17532.199219,17179.265625,3648
2021-06-08,17535.000000,17616.449219,17414.599609,17487.650391,17135.617188,1347
2021-06-09,17489.000000,17612.000000,17436.050781,17562.250000,17208.714844,2309
2021-06-10,17562.000000,17670.000000,17485.550781,17547.099609,17193.867188,2369
2021-06-11,17600.000000,17600.050781,17369.099609,17543.050781,17189.900391,1613
2021-06-14,17495.000000,17626.000000,17410.650391,17575.150391,17221.355469,2727
2021-06-15,17698.000000,17710.000000,17518.199219,17679.500000,17323.603516,15162
2021-06-16,17700.000000,18051.949219,17599.949219,17972.449219,17610.656250,4830
2021-06-17,17972.449219,18175.000000,17896.400391,18053.500000,17690.076172,5327
2021-06-18,18047.900391,18075.800781,17600.000000,17678.300781,17322.427734,3298
2021-06-21,17650.000000,17692.900391,17513.099609,17642.500000,17287.349609,3170
2021-06-22,17798.949219,17798.949219,17415.000000,17451.199219,17099.898438,2315
2021-06-23,17500.000000,17553.000000,17367.150391,17406.050781,17055.658203,16777
2021-06-24,17450.000000,17670.349609,17334.349609,17596.400391,17242.177734,2735
2021-06-25,17600.000000,17651.300781,17440.000000,17501.500000,17149.189453,1036
2021-06-28,17505.000000,17610.650391,17468.550781,17508.099609,17155.654297,654
2021-06-29,17570.000000,17719.949219,17501.900391,17578.699219,17224.830078,3017
2021-06-30,17650.000000,17746.150391,17575.550781,17676.750000,17320.910156,1441
2021-07-01,17765.000000,17765.000000,17574.900391,17641.599609,17286.466797,1194
2021-07-02,17641.599609,17641.599609,17497.000000,17602.750000,17248.400391,798
2021-07-05,17684.949219,17706.000000,17531.300781,17634.550781,17279.558594,1282
2021-07-06,17601.000000,17606.050781,17425.000000,17489.650391,17137.576172,1643
2021-07-07,17521.800781,17776.000000,17361.949219,17714.800781,17358.193359,3568
2021-07-08,17600.000000,17683.500000,17545.000000,17618.800781,17264.126953,635
2021-07-09,17620.000000,17669.000000,17557.750000,17640.750000,17285.632813,1630
2021-07-12,17631.000000,17725.000000,17574.000000,17645.349609,17290.140625,16969
2021-07-13,17650.000000,17726.599609,17625.199219,17673.800781,17318.019531,1549
2021-07-14,17720.000000,17720.000000,17508.949219,17535.550781,17182.550781,884
2021-07-15,17550.000000,17650.000000,17447.699219,17618.800781,17264.126953,1291
2021-07-16,17698.000000,17714.699219,17549.650391,17650.099609,17294.794922,623
2021-07-19,17575.000000,17848.599609,17575.000000,17749.199219,17391.898438,17252
2021-07-20,17799.000000,17898.449219,17710.099609,17829.400391,17470.488281,1428
2021-07-22,17895.000000,18026.400391,17723.650391,17995.199219,17632.945313,2935
2021-07-23,17999.000000,18218.000000,17890.900391,18122.849609,17758.027344,3224
2021-07-26,18000.000000,18173.949219,18000.000000,18077.550781,17713.640625,1257
2021-07-27,18000.199219,18446.550781,17979.250000,18238.449219,17871.298828,2511
2021-07-28,18338.000000,18338.000000,17900.000000,18012.599609,17650.000000,4804
2021-07-29,17967.000000,18155.900391,17796.250000,17909.900391,17549.365234,2547
2021-07-30,17914.000000,17932.699219,17664.900391,17725.000000,17368.187500,1799
2021-08-02,17703.050781,17900.000000,17675.050781,17709.050781,17352.558594,1649
2021-08-03,17735.000000,18409.000000,17666.449219,18287.800781,17919.658203,2854
2021-08-04,18320.000000,18336.099609,18010.000000,18050.800781,17687.431641,1965
2021-08-05,18180.000000,18280.099609,18000.000000,18214.250000,17847.587891,1366
2021-08-06,18280.000000,18280.000000,17988.000000,18095.050781,17730.789063,2551
2021-08-09,18150.000000,18228.000000,18021.900391,18196.849609,17830.539063,1477
2021-08-10,18311.000000,18360.000000,18088.699219,18277.900391,17909.958984,1016
2021-08-11,18250.000000,18277.000000,18025.000000,18164.150391,17798.498047,1190
2021-08-12,18138.500000,18235.199219,18072.800781,18136.550781,17771.455078,923
2021-08-13,18136.550781,18280.650391,18136.550781,18268.300781,17900.548828,1408
2021-08-16,18250.000000,18488.000000,18216.349609,18297.000000,17928.673828,1161
2021-08-17,18300.000000,18790.000000,18300.000000,18729.949219,18352.908203,3796
2021-08-18,18730.000000,18958.150391,18730.000000,18910.000000,18529.332031,1298
2021-08-20,18690.000000,19632.250000,18598.750000,19552.800781,19159.193359,4132
2021-08-23,19700.000000,20083.750000,19556.000000,20016.500000,19613.560547,4153
2021-08-24,20080.000000,20144.099609,19666.500000,19785.199219,19386.916016,3061
2021-08-25,19810.000000,20333.800781,19810.000000,19907.400391,19506.654297,4279
2021-08-26,19999.000000,20112.849609,19816.150391,20046.800781,19643.248047,1740
2021-08-27,20149.949219,20149.949219,19915.349609,19953.949219,19552.267578,832
2021-08-30,20000.000000,20092.400391,19701.000000,19763.599609,19365.750000,1880
2021-08-31,19800.000000,19831.000000,19352.199219,19458.099609,19066.400391,4899
2021-09-01,19797.949219,19883.449219,19581.000000,19832.599609,19433.359375,2275
2021-09-02,19801.050781,20284.750000,19774.400391,20242.300781,19834.812500,3305
2021-09-03,20255.000000,20333.300781,20102.550781,20260.150391,19852.306641,1811
2021-09-06,20265.000000,20346.849609,20169.550781,20209.449219,19802.623047,1250
2021-09-07,20250.000000,20397.300781,20217.699219,20373.250000,19963.126953,1531
2021-09-08,20370.000000,20517.900391,19783.599609,19876.650391,19476.523438,4485
2021-09-09,19940.000000,20527.099609,19850.000000,20439.449219,20027.994141,8650
2021-09-13,20400.000000,20500.250000,20243.800781,20434.599609,20023.244141,1203
2021-09-14,20452.000000,20599.949219,20178.849609,20232.199219,19824.917969,1347
2021-09-15,20400.000000,20400.000000,20090.000000,20118.199219,19713.210938,1239
